user_id,run_id,condition,round,timestamp
1.1782932009073132e+18,baseline_no_persona_20250911_152635,no_persona,1,2025-09-11T15:31:00.422105
1.1782932009073132e+18,baseline_generic_20250911_152635,generic,1,2025-09-11T15:31:23.824433
1.1782932009073132e+18,baseline_history_only_20250911_152635,history_only,1,2025-09-11T15:32:22.301806
1.1782932009073132e+18,baseline_best_persona_20250911_152635,best_persona,1,2025-09-11T15:33:07.244708
1.1782932009073132e+18,baseline_no_persona_20250911_155619,no_persona,1,2025-09-11T15:57:31.614776
1.1782932009073132e+18,baseline_generic_20250911_155619,generic,1,2025-09-11T15:57:39.352953
1.1782932009073132e+18,baseline_history_only_20250911_155619,history_only,1,2025-09-11T15:57:50.297211
1.1782932009073132e+18,baseline_best_persona_20250911_155619,best_persona,1,2025-09-11T15:58:12.649907
17813513.0,baseline_no_persona_20250911_152635,no_persona,1,2025-09-11T15:27:23.863080
17813513.0,baseline_generic_20250911_152635,generic,1,2025-09-11T15:27:45.067243
17813513.0,baseline_history_only_20250911_152635,history_only,1,2025-09-11T15:29:21.509831
17813513.0,baseline_best_persona_20250911_152635,best_persona,1,2025-09-11T15:30:07.575423
17813513.0,baseline_no_persona_20250911_155549,no_persona,1,2025-09-11T15:55:56.583335
17813513.0,baseline_generic_20250911_155549,generic,1,2025-09-11T15:56:06.888004
17813513.0,baseline_no_persona_20250911_155619,no_persona,1,2025-09-11T15:56:28.553274
17813513.0,baseline_generic_20250911_155619,generic,1,2025-09-11T15:56:33.017816
17813513.0,baseline_history_only_20250911_155619,history_only,1,2025-09-11T15:56:52.187403
17813513.0,baseline_best_persona_20250911_155619,best_persona,1,2025-09-11T15:57:18.019951
